title,url,date,favorite,review,tags
"Bill Atkinson Obit","https://www.nytimes.com/2025/06/07/technology/bill-atkinson-dead.html","2025-07-24","false","",""
"Welcome to the Era of Experience:","https://storage.googleapis.com/deepmind-media/Era-of-Experience%20/The%20Era%20of%20Experience%20Paper.pdf","2025-07-24","false","",""
"Eric Snowden on Design Leadership:","https://adobe.design/stories/leading-design/eric-snowden-on-leading-a-global-design-team","2025-07-24","false","",""
"Maggie Rogers Dont Forget Me Podcast Interview","https://www.youtube.com/watch?v=k2IL6aPK5pQ ","2025-07-24","false","",""
"Human first AI evaluation @ Figma","https://t.co/zsWRYNg8TQ","2025-07-24","false","",""
"Google Material 3 Experessive: Fun UI Treament means Better Usability","https://design.google/library/expressive-material-design-google-research","2025-07-24","false","",""
"Jony Ive and Sam Altman team up to create an AI device of the future","https://openai.com/sam-and-jony/","2025-07-24","false","",""
"Microsoft & MCP & AI for the Web","https://www.theverge.com/web/669437/nlweb-microsoft-ai-agents-open-web","2025-07-24","false","","#ai"
"Anthropic CEO Profile","https://x.com/shiringhaffary/status/1924501811416666413?s=46&t=1pxT5CPa1jRWuGNZaJoV9w","2025-07-24","false","","#bio,#ai"
"MCP Server for 3Blue1Brown","https://github.com/abhiemj/manim-mcp-server","2025-07-24","false","","#creative-tech,#algos"
"Why Apple hasn’t cracked AI","https://t.co/799bnFVIQb","2025-07-24","false","","#tech-news,#ai"
"Flat design is over. The future is colorful and dimensional.","https://x.com/bchesky/status/1923155526524772822?s=46&t=1pxT5CPa1jRWuGNZaJoV9w","2025-07-24","false","","#design-philosophy"
"Wes Anderson Exhibition @ London Design Museum","https://www.fastcompany.com/91331161/take-a-peek-into-wes-andersons-personal-archives","2025-07-24","false","","#museum,#visual-culture"
"Figma IPO","https://x.com/katie_roof/status/1922082660349837399?s=46&t=1pxT5CPa1jRWuGNZaJoV9w","2025-07-24","false","","#tools,#tech-news"
"Conversation with Antropic CEO - Podcast","https://podcasts.apple.com/us/podcast/conversations-with-tyler/id983795625","2025-07-24","false","","#tech-industry,#ai"
"How Models Think - Antropic Claude","https://www.anthropic.com/research/tracing-thoughts-language-model","2025-07-24","false","","#algos"
"PatchMatch Algorithm begind Content Aware Fill PS","https://gfx.cs.princeton.edu/pubs/Barnes_2009_PAR/index.php?utm_source=chatgpt.com","2025-07-24","false","","#algos"
"Figma and AI at Config 2025","http://web.archive.org/web/20250509223659/https://www.theverge.com/command-line-newsletter/664444/figma-ceo-ai-config-interview","2025-07-24","false","","#ai,#tools,#product-design"
"Gen Z, the Generation of Rejection","https://www.businessinsider.com/gen-z-most-rejected-generation-college-careers-jobs-dating-ghosting-2025-3","2025-07-24","false","","#society"
"Chicken Breast Recipes","https://cooking.nytimes.com/article/how-to-cook-chicken-breast","2025-07-24","false","","#food"
"Meta wants to replace the content pipeline with 1-click creative for targetted ads","https://www.theverge.com/meta/659506/mark-zuckerberg-ai-facebook-ads","2025-07-24","false","","#ai,#tech-news"
"Human Centered design for the AI Driven Futures","https://www.ideo.com/journal/in-the-age-of-ai-human-centered-design-is-more-crucial-than-ever","2025-07-24","false","","#design,#ai"
"AI UI Beyond ChatBot","https://x.com/garrytan/status/1917922927514960183?s=46&t=1pxT5CPa1jRWuGNZaJoV9w","2025-07-24","false","","#ai,#product-design"
"Desigining Content Credentials","https://adobe.design/stories/process/behind-the-design-adobe-content-authenticity-app","2025-07-24","false","","#ai-art-ethics,#design_philosophy"
"AI for Better City Planning","https://www.fastcompany.com/91323292/ai-found-these-simple-features-make-a-city-more-walkable","2025-07-24","false","","#civic-tech,#ai"
"ChatGPT’s Data on You","https://x.com/signulll/status/1910699595530752172?s=46&t=1pxT5CPa1jRWuGNZaJoV9w","2025-07-24","false","","ffff"
"AI That Can Learn about you Over Your Entire Lifetime","https://x.com/sama/status/1910380643772665873?s=46&t=1pxT5CPa1jRWuGNZaJoV9w","2025-07-24","false","","#ai,#tech-industry"
"In an Age of Right-Wing Populism, Why Are Denmark’s Liberals Winning?","https://www.nytimes.com/2025/02/24/magazine/denmark-immigration-policy-progressives.html","2025-07-24","false","","#politics"
"Gay Sexual Experiences in Religious School / Gender Segregated Schools","https://www.haaretz.com/israel-news/2025-02-21/ty-article-magazine/.premium/religious-israelis-abuzz-over-study-on-gay-sexual-experiences-in-gender-segregated-schools/00000195-2333-d293-a1d5-e737cca60000?utm_source=App_Share&utm_medium=iOS_Native","2025-07-24","false","","#gay,#masculinity"
"Vibe Coding","https://www.figma.com/blog/double-click-vibe-coding/","2025-07-24","false","","#vibe-coding"
"Harris for President Branding:","https://www.wideeye.co/case-study/harris-for-president-2024","2025-07-24","false","","#american-politics,#design,#case-study"
"Pentagram partner Paula Scher defends use of Gen AI","https://www.fastcompany.com/91240809/pentagram-partner-paula-scher-unapologetically-defends-using-generative-ai","2025-07-24","false","","#ai,#visual-culture"
"Pentagram Opts for AI Midjourney over Illustrators:","https://www.fastcompany.com/91240809/pentagram-partner-paula-scher-unapologetically-defends-using-generative-ai","2025-07-24","false","","#ai-art-ethics"
"Meta Research on Hand Gestures for AR:","https://www.instagram.com/p/DDH9PFUxbdh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==","2025-07-24","false","","#computer-vision,#tech-news"
"Meta AR","https://www.fastcompany.com/91229358/inside-metas-long-term-vision-to-make-its-orion-glasses-the-airpods-of-augmented-reality","2025-07-24","false","","#computer-vision,#tech-news"
"25% of Google code written by AI","https://www.theverge.com/2024/10/29/24282757/google-new-code-generated-ai-q3-2024","2025-07-24","false","","#ai,#tech-news"
"Tim Cook Bio","https://www.wsj.com/style/tim-cook-interview-apple-intelligence-vision-pro-48c59018?st=HUzQaZ&reflink=desktopwebshare_permalink","2025-07-24","false","","#tech-news,#bio"
"Figma Redesign","https://www.figma.com/blog/our-approach-to-designing-ui3/","2025-07-24","false","","#tech-news,#product-design,#tools"
"Drawing political cartoons of Kamala:","https://www.politico.com/news/magazine/2024/09/22/caricaturing-kamala-harris-00175047","2025-07-24","false","","#illustration,#visual-culture,#american-politics"
"Art after Oct 7","https://www.haaretz.com/life/2024-09-20/ty-article-magazine/.premium/i-had-a-crazy-idea-collect-all-important-israeli-art-created-after-october-7/00000192-0a5d-dc60-a5fb-ef7fa7f20000","2025-07-24","false","","#israel-palestine,#fine-arts"
"Snap Spectacles and the AR Bet:","https://www.theverge.com/2024/9/17/24245572/snap-spectacles-ar-developers-evan-spiegel","2025-07-24","false","","#computer-vision,#tech-industry"
"The Life of Yahya Sinwar","https://www.newyorker.com/magazine/2024/08/12/yahya-sinwar-profile-hamas-gaza-war-israel","2025-07-24","false","Chilling","#israel-palestine"
